"api_number","reported_on","barrels_oil","mcf_gas","barrels_water","days_producing"
"4900533607","20060201","0","52.08","0",""
"4900539878","20070801","0","1152.89","11522.08",""
"4900533609","20011001","0","106.02","0",""
"4900539879","20070801","0","810.96","6003.15",""
"4900539889","20070801","0","13005.12","9941.08",""
"4900533307","20070801","0","0","16776.89",""
"4900538121","20050201","0","0","3372.88",""
"4900538122","20040701","0","0","3175.02",""
"4900538124","20070601","0","0","1526.1",""
"4900538126","20060701","0","0","57.97",""
"4900538127","20060701","0","0",".93",""
"4900536976","20070801","0","731.91","723.85",""
"4900534653","20070901","0","1901.1","336.9",""
"4900545687","20070901","0","20.1","0",""
"4900545688","20040901","0","852","1088.1",""
"4900545688","20070901","0","1419","404.1",""
"4900537052","20070101","0","240.87","0",""
"4900537056","20060101","0","74.09","0",""
"4900537057","20031101","0","32.1","0",""
"4900537058","20061201","0","248.93","0",""
"4900535631","20031201","0","0","26880.1",""
"4900535632","20031001","0","1.86","0",""
"4900535640","20070601","0","54.9","0",""
"4900537086","20070801","0","242.11","3528.11",""
"4900537070","20070801","0","531.03","683.86",""
"4900537089","20060301","0","0","158.1",""
"4900537093","20070801","0","123.07","5349.05",""
"4900537073","20070801","0","110.05","385.02",""
"4900537094","20070801","0","247.07","457.87",""
"4900537097","20070801","0","75.95","0",""
"4900537100","20070801","0","341","367.04",""
"4900537103","20070801","0","34.1","464.07",""
"4900537106","20070801","0","140.12","0",""
"4900534925","20070801","0","0","3100",""
"4900535114","20060401","0","0","885",""
"4900546525","20070201","0","1.12","4168.08",""
"4900538675","20030401","0","0","2730",""
"4900550021","20070901","0","3.9","3813.9",""
"4900550023","20070901","0","1400.1","7533.9",""
"4900550024","20070901","0","96.9","19161.9",""
"4900550025","20070901","0","243.9","19454.1",""
"4900544021","20070801","0","136.09","3100",""
"4900532222","20070801","0","320.85","10602",""
"4900536572","20070801","0","320.85","4402",""
"4900536573","20070801","0","0","4540.88",""
"4900530937","20070801","0","8.99","3100",""
"4900535023","20070801","0","1922","9704.86",""
"4900538706","20070801","0","1417.94","0",""
"4900538707","20070801","0","770.04","0",""
"4900538708","20070801","0","752.06","0",""
"4900538709","20070801","0","1083.14","0",""
"4900534165","20070801","0","49.91","0",""
"4900538274","20070201","0","670.88","0",""
"4900538275","20011001","0","4.96","0",""
"4900538276","20021101","0","186.9","0",""
"4900538730","20140801","0","23.87","1373.92",""
"4900538731","20140801","0","255.13","5408.88",""
